file_id	speaker_id
1_single_clean_original.wav	spk1089
1_single_clean_ohnn.wav	spk1089
1_single_clean_selection.wav	spk1089
2_single_noisy_original.wav	spk1089
2_single_noisy_denoised.wav	spk1089
2_single_noisy_ohnn.wav	spk1089
2_single_noisy_selection.wav	spk1089
3_multi_clean_original.wav	spk1089
3_multi_clean_original.wav	spk1188
3_multi_clean_ohnn.wav	spk1089
3_multi_clean_ohnn.wav	spk1188
3_multi_clean_selection.wav	spk1089
3_multi_clean_selection.wav	spk1188
3_multi_clean_tsa_ohnn.wav	spk1089
3_multi_clean_tsa_ohnn.wav	spk1188
3_multi_clean_tsa_selection.wav	spk1089
3_multi_clean_tsa_selection.wav	spk1188
4_multi_noisy_original.wav	spk1089
4_multi_noisy_original.wav	spk1188
4_multi_noisy_denoised.wav	spk1089
4_multi_noisy_denoised.wav	spk1188
4_multi_noisy_ohnn.wav	spk1089
4_multi_noisy_ohnn.wav	spk1188
4_multi_noisy_selection.wav	spk1089
4_multi_noisy_selection.wav	spk1188
4_multi_noisy_tsa_ohnn.wav	spk1089
4_multi_noisy_tsa_ohnn.wav	spk1188
4_multi_noisy_tsa_selection.wav	spk1089
4_multi_noisy_tsa_selection.wav	spk1188
